dateTime,rate,rateZone
06.06.2024 12:00:34,118,62%
06.06.2024 12:00:29,115,60%
06.06.2024 12:00:24,112,58%
06.06.2024 12:00:19,110,57%
06.06.2024 12:00:11,110,57%
06.06.2024 12:00:04,104,54%
06.06.2024 11:59:59,102,53%
06.06.2024 11:59:54,99,52%
06.06.2024 11:59:49,94,49%
06.06.2024 11:59:48,93,48%
06.06.2024 11:59:42,92,48%
06.06.2024 11:59:34,94,49%
06.06.2024 11:59:31,96,50%
06.06.2024 11:59:24,99,52%
06.06.2024 11:59:19,103,54%
06.06.2024 11:59:16,104,54%
06.06.2024 11:59:11,106,55%
06.06.2024 11:59:04,103,54%
06.06.2024 11:59:02,103,54%
06.06.2024 11:58:54,101,53%
06.06.2024 11:58:49,97,51%
06.06.2024 11:58:48,96,50%
06.06.2024 11:58:43,96,50%
06.06.2024 11:58:34,96,50%
06.06.2024 11:58:32,96,50%
06.06.2024 11:58:26,95,50%
06.06.2024 11:58:19,97,51%
06.06.2024 11:58:17,97,51%
06.06.2024 11:58:10,95,50%
06.06.2024 11:58:04,95,50%
06.06.2024 11:58:02,95,50%
06.06.2024 11:57:57,94,49%
06.06.2024 11:57:49,87,45%
06.06.2024 11:57:44,89,46%
06.06.2024 11:57:39,93,48%
06.06.2024 11:57:34,97,51%
06.06.2024 11:57:31,97,51%
06.06.2024 11:57:24,98,51%
06.06.2024 11:57:19,101,53%
06.06.2024 11:57:14,105,55%
06.06.2024 11:57:09,106,55%
06.06.2024 11:57:04,105,55%
06.06.2024 11:57:03,105,55%
06.06.2024 11:56:55,105,55%
06.06.2024 11:56:49,108,56%
06.06.2024 11:56:47,108,56%
06.06.2024 11:56:41,109,57%
06.06.2024 11:56:34,110,57%
06.06.2024 11:56:32,110,57%
06.06.2024 11:56:25,111,58%
06.06.2024 11:56:19,111,58%
06.06.2024 11:56:16,109,57%
06.06.2024 11:56:10,107,56%
06.06.2024 11:56:04,103,54%
06.06.2024 11:56:03,103,54%
06.06.2024 11:55:57,104,54%
06.06.2024 11:55:49,100,52%
06.06.2024 11:55:48,100,52%
06.06.2024 11:55:39,100,52%
06.06.2024 11:55:31,101,53%
06.06.2024 11:55:24,100,52%
06.06.2024 11:55:19,107,56%
06.06.2024 11:55:15,108,56%
06.06.2024 11:55:09,108,56%
06.06.2024 11:55:03,106,55%
06.06.2024 11:54:56,105,55%
06.06.2024 11:54:49,104,54%
06.06.2024 11:54:39,105,55%
06.06.2024 11:54:34,106,55%
06.06.2024 11:54:32,107,56%
06.06.2024 11:54:25,107,56%
06.06.2024 11:54:19,109,57%
06.06.2024 11:54:17,115,60%
06.06.2024 11:54:10,114,60%
06.06.2024 11:54:04,115,60%
06.06.2024 11:54:01,117,61%
06.06.2024 11:53:56,119,62%
06.06.2024 11:53:49,119,62%
06.06.2024 11:53:47,120,63%
06.06.2024 11:53:40,120,63%
06.06.2024 11:53:34,124,65%
06.06.2024 11:53:29,123,64%
06.06.2024 11:53:24,123,64%
06.06.2024 11:53:18,123,64%
06.06.2024 11:53:13,122,64%
06.06.2024 11:53:04,119,62%
06.06.2024 11:53:00,122,64%
06.06.2024 11:52:54,123,64%
06.06.2024 11:52:49,126,66%
06.06.2024 11:52:45,126,66%
06.06.2024 11:52:40,127,66%
06.06.2024 11:52:34,130,68%
06.06.2024 11:52:30,133,70%
06.06.2024 11:52:24,134,70%
06.06.2024 11:52:19,131,68%
06.06.2024 11:52:17,130,68%
06.06.2024 11:52:12,129,67%
06.06.2024 11:52:04,131,68%
06.06.2024 11:51:58,131,68%
06.06.2024 11:51:49,135,71%
06.06.2024 11:51:48,137,72%
06.06.2024 11:51:41,136,71%
06.06.2024 11:51:34,138,72%
06.06.2024 11:51:31,138,72%
06.06.2024 11:51:24,139,73%
06.06.2024 11:51:19,141,74%
06.06.2024 11:51:15,141,74%
06.06.2024 11:51:10,142,74%
06.06.2024 11:51:04,140,73%
06.06.2024 11:51:02,141,74%
06.06.2024 11:50:56,140,73%
06.06.2024 11:50:49,137,72%
06.06.2024 11:50:45,136,71%
06.06.2024 11:50:39,136,71%
06.06.2024 11:50:34,131,68%
06.06.2024 11:50:32,132,69%
06.06.2024 11:50:26,131,68%
06.06.2024 11:50:19,129,67%
06.06.2024 11:50:16,128,67%
06.06.2024 11:50:09,124,65%
06.06.2024 11:50:04,121,63%
06.06.2024 11:49:54,120,63%
06.06.2024 11:49:49,112,58%
06.06.2024 11:49:48,113,59%
06.06.2024 11:49:43,114,60%
06.06.2024 11:49:34,114,60%
06.06.2024 11:49:31,114,60%
06.06.2024 11:49:24,116,61%
06.06.2024 11:49:19,116,61%
06.06.2024 11:49:16,118,62%
06.06.2024 11:49:09,121,63%
06.06.2024 11:49:04,124,65%
06.06.2024 11:48:59,126,66%
06.06.2024 11:48:54,117,61%
06.06.2024 11:48:49,112,58%
06.06.2024 11:48:41,91,47%
06.06.2024 11:48:34,96,50%
06.06.2024 11:48:31,93,48%
06.06.2024 11:48:25,89,46%
06.06.2024 11:48:19,82,43%
06.06.2024 11:48:14,80,42%
06.06.2024 11:48:04,81,42%
06.06.2024 11:48:03,81,42%
06.06.2024 11:47:58,80,42%
06.06.2024 11:47:49,80,42%
06.06.2024 11:47:45,80,42%
06.06.2024 11:47:40,83,43%
06.06.2024 11:47:34,84,44%
06.06.2024 11:47:32,85,44%
06.06.2024 11:47:26,84,44%
06.06.2024 11:47:19,85,44%
06.06.2024 11:47:16,87,45%
06.06.2024 11:47:10,90,47%
06.06.2024 11:47:04,91,47%
06.06.2024 11:46:59,89,46%
06.06.2024 11:46:49,90,47%
06.06.2024 11:46:48,90,47%
06.06.2024 11:46:42,91,47%
06.06.2024 11:46:34,91,47%
06.06.2024 11:46:31,90,47%
06.06.2024 11:46:24,92,48%
06.06.2024 11:46:19,92,48%
06.06.2024 11:46:16,91,47%
06.06.2024 11:46:11,90,47%
06.06.2024 11:46:04,87,45%
06.06.2024 11:45:56,88,46%
06.06.2024 11:45:49,84,44%
06.06.2024 11:45:43,84,44%
06.06.2024 11:45:34,84,44%
06.06.2024 11:45:25,83,43%
06.06.2024 11:45:19,81,42%
06.06.2024 11:45:11,82,43%
06.06.2024 11:45:04,84,44%
06.06.2024 11:45:01,89,46%
06.06.2024 11:44:55,88,46%
06.06.2024 11:44:49,88,46%
06.06.2024 11:44:48,91,47%
06.06.2024 11:44:40,93,48%
06.06.2024 11:44:34,96,50%
06.06.2024 11:44:30,96,50%
06.06.2024 11:44:24,95,50%
06.06.2024 11:44:19,89,46%
06.06.2024 11:44:15,87,45%
06.06.2024 11:44:10,86,45%
06.06.2024 11:44:04,86,45%
06.06.2024 11:44:00,84,44%
06.06.2024 11:43:54,82,43%
06.06.2024 11:43:49,82,43%
06.06.2024 11:43:44,81,42%
06.06.2024 11:43:39,84,44%
06.06.2024 11:43:34,83,43%
06.06.2024 11:43:30,83,43%
06.06.2024 11:43:25,81,42%
06.06.2024 11:43:19,80,42%
06.06.2024 11:43:17,82,43%
06.06.2024 11:43:09,81,42%
06.06.2024 11:43:04,82,43%
06.06.2024 11:42:59,83,43%
06.06.2024 11:42:54,85,44%
06.06.2024 11:42:49,84,44%
06.06.2024 11:42:41,85,44%
06.06.2024 11:42:34,89,46%
06.06.2024 11:42:29,89,46%
06.06.2024 11:42:24,86,45%
06.06.2024 11:42:19,88,46%
06.06.2024 11:42:15,86,45%
06.06.2024 11:42:09,89,46%
06.06.2024 11:42:04,87,45%
06.06.2024 11:41:55,85,44%
06.06.2024 11:41:49,87,45%
06.06.2024 11:41:44,88,46%
06.06.2024 11:41:34,86,45%
06.06.2024 11:41:29,85,44%
06.06.2024 11:41:24,84,44%
06.06.2024 11:41:19,84,44%
06.06.2024 11:41:12,85,44%
06.06.2024 11:41:04,83,43%
06.06.2024 11:41:02,83,43%
06.06.2024 11:40:56,83,43%
06.06.2024 11:40:49,82,43%
06.06.2024 11:40:45,85,44%
06.06.2024 11:40:39,91,47%
06.06.2024 11:40:31,93,48%
06.06.2024 11:40:24,91,47%
06.06.2024 11:40:19,88,46%
06.06.2024 11:40:18,90,47%
06.06.2024 11:40:10,89,46%
06.06.2024 11:40:04,89,46%
06.06.2024 11:40:02,89,46%
06.06.2024 11:39:56,88,46%
06.06.2024 11:39:49,86,45%
06.06.2024 11:39:45,84,44%
06.06.2024 11:39:40,83,43%
06.06.2024 11:39:34,79,41%
06.06.2024 11:39:26,84,44%
06.06.2024 11:39:19,83,43%
06.06.2024 11:39:16,83,43%
06.06.2024 11:39:10,84,44%
06.06.2024 11:39:04,83,43%
06.06.2024 11:39:01,83,43%
06.06.2024 11:38:54,83,43%
06.06.2024 11:38:47,84,44%
06.06.2024 11:38:39,86,45%
06.06.2024 11:38:34,86,45%
06.06.2024 11:38:33,89,46%
06.06.2024 11:38:26,90,47%
06.06.2024 11:38:19,88,46%
06.06.2024 11:38:13,88,46%
06.06.2024 11:38:04,90,47%
06.06.2024 11:38:00,89,46%
06.06.2024 11:37:54,92,48%
06.06.2024 11:37:49,92,48%
06.06.2024 11:37:44,93,48%
06.06.2024 11:37:34,91,47%
06.06.2024 11:37:31,86,45%
06.06.2024 11:37:25,86,45%
06.06.2024 11:37:19,85,44%
06.06.2024 11:37:16,83,43%
06.06.2024 11:37:10,84,44%
06.06.2024 11:37:04,82,43%
06.06.2024 11:37:03,81,42%
06.06.2024 11:36:57,79,41%
06.06.2024 11:36:49,81,42%
06.06.2024 11:36:47,81,42%
06.06.2024 11:36:40,78,41%
06.06.2024 11:36:34,79,41%
06.06.2024 11:36:30,82,43%
06.06.2024 11:36:24,86,45%
06.06.2024 11:36:19,88,46%
06.06.2024 11:36:14,86,45%
06.06.2024 11:36:09,85,44%
06.06.2024 11:36:04,86,45%
06.06.2024 11:35:55,84,44%
06.06.2024 11:35:49,93,48%
06.06.2024 11:35:47,94,49%
06.06.2024 11:35:39,93,48%
06.06.2024 11:35:34,93,48%
06.06.2024 11:35:33,95,50%
06.06.2024 11:35:24,95,50%
06.06.2024 11:35:18,96,50%
06.06.2024 11:35:11,97,51%
06.06.2024 11:35:04,98,51%
06.06.2024 11:35:01,99,52%
06.06.2024 11:34:54,102,53%
06.06.2024 11:34:49,100,52%
06.06.2024 11:34:47,101,53%
06.06.2024 11:34:39,100,52%
06.06.2024 11:34:34,97,51%
06.06.2024 11:34:30,98,51%
06.06.2024 11:34:24,99,52%
06.06.2024 11:34:19,98,51%
06.06.2024 11:34:13,96,50%
06.06.2024 11:34:04,94,49%
06.06.2024 11:34:02,91,47%
06.06.2024 11:33:55,89,46%
06.06.2024 11:33:49,90,47%
06.06.2024 11:33:44,87,45%
06.06.2024 11:33:34,86,45%
06.06.2024 11:33:28,88,46%
06.06.2024 11:33:19,89,46%
06.06.2024 11:33:14,85,44%
06.06.2024 11:33:09,82,43%
06.06.2024 11:33:04,81,42%
06.06.2024 11:33:03,79,41%
06.06.2024 11:32:54,77,40%
06.06.2024 11:32:49,77,40%
06.06.2024 11:32:47,79,41%
06.06.2024 11:32:39,81,42%
06.06.2024 11:32:34,81,42%
06.06.2024 11:32:31,82,43%
06.06.2024 11:32:25,83,43%
06.06.2024 11:32:19,82,43%
06.06.2024 11:32:15,78,41%
06.06.2024 11:32:09,77,40%
06.06.2024 11:32:04,77,40%
06.06.2024 11:32:03,75,39%
06.06.2024 11:31:57,75,39%
06.06.2024 11:31:49,76,40%
06.06.2024 11:31:44,75,39%
06.06.2024 11:31:39,75,39%
06.06.2024 11:31:34,75,39%
06.06.2024 11:31:30,76,40%
06.06.2024 11:31:24,80,42%
06.06.2024 11:31:15,79,41%
06.06.2024 11:31:09,78,41%
06.06.2024 11:31:04,78,41%
06.06.2024 11:31:00,79,41%
06.06.2024 11:30:55,83,43%
06.06.2024 11:30:49,83,43%
06.06.2024 11:30:45,85,44%
06.06.2024 11:30:39,85,44%
06.06.2024 11:30:34,86,45%
06.06.2024 11:30:32,86,45%
06.06.2024 11:30:25,86,45%
06.06.2024 11:30:19,84,44%
06.06.2024 11:30:15,84,44%
06.06.2024 11:30:10,92,48%
06.06.2024 11:30:04,99,52%
06.06.2024 11:29:55,97,51%
06.06.2024 11:29:49,96,50%
06.06.2024 11:29:45,99,52%
06.06.2024 11:29:40,96,50%
06.06.2024 11:29:34,91,47%
06.06.2024 11:29:24,91,47%
06.06.2024 11:29:19,88,46%
06.06.2024 11:29:14,88,46%
06.06.2024 11:29:09,91,47%
06.06.2024 11:29:04,92,48%
06.06.2024 11:29:02,94,49%
06.06.2024 11:28:56,97,51%
06.06.2024 11:28:49,102,53%
06.06.2024 11:28:47,105,55%
06.06.2024 11:28:40,105,55%
06.06.2024 11:28:34,106,55%
06.06.2024 11:28:30,107,56%
06.06.2024 11:28:25,100,52%
06.06.2024 11:28:19,94,49%
06.06.2024 11:28:10,92,48%
06.06.2024 11:28:04,87,45%
06.06.2024 11:28:03,83,43%
06.06.2024 11:27:55,80,42%
06.06.2024 11:27:49,80,42%
06.06.2024 11:27:47,80,42%
06.06.2024 11:27:39,79,41%
06.06.2024 11:27:34,83,43%
06.06.2024 11:27:26,84,44%
06.06.2024 11:27:19,84,44%
06.06.2024 11:27:12,84,44%
06.06.2024 11:27:04,84,44%
06.06.2024 11:26:59,81,42%
06.06.2024 11:26:54,80,42%
06.06.2024 11:26:49,80,42%
06.06.2024 11:26:39,80,42%
06.06.2024 11:26:34,83,43%
06.06.2024 11:26:27,85,44%
06.06.2024 11:26:19,84,44%
06.06.2024 11:26:17,82,43%
06.06.2024 11:26:10,81,42%
06.06.2024 11:26:04,84,44%
06.06.2024 11:25:57,84,44%
06.06.2024 11:25:49,86,45%
06.06.2024 11:25:46,85,44%
06.06.2024 11:25:39,81,42%
06.06.2024 11:25:34,82,43%
06.06.2024 11:25:31,84,44%
06.06.2024 11:25:24,85,44%
06.06.2024 11:25:19,91,47%
06.06.2024 11:25:16,94,49%
06.06.2024 11:25:09,95,50%
06.06.2024 11:25:04,94,49%
06.06.2024 11:24:58,92,48%
06.06.2024 11:24:49,88,46%
06.06.2024 11:24:45,85,44%
06.06.2024 11:24:39,84,44%
06.06.2024 11:24:34,86,45%
06.06.2024 11:24:31,85,44%
06.06.2024 11:24:25,84,44%
06.06.2024 11:24:19,80,42%
06.06.2024 11:24:17,80,42%
06.06.2024 11:24:12,81,42%
06.06.2024 11:24:04,81,42%
06.06.2024 11:24:00,81,42%
06.06.2024 11:23:54,81,42%
06.06.2024 11:23:49,81,42%
06.06.2024 11:23:43,81,42%
06.06.2024 11:23:34,82,43%
06.06.2024 11:23:29,79,41%
06.06.2024 11:23:24,82,43%
06.06.2024 11:23:19,83,43%
06.06.2024 11:23:17,85,44%
06.06.2024 11:23:10,85,44%
06.06.2024 11:23:04,88,46%
06.06.2024 11:22:58,88,46%
06.06.2024 11:22:49,86,45%
06.06.2024 11:22:46,85,44%
06.06.2024 11:22:39,86,45%
06.06.2024 11:22:34,88,46%
06.06.2024 11:22:27,88,46%
06.06.2024 11:22:19,90,47%
06.06.2024 11:22:16,87,45%
06.06.2024 11:22:10,88,46%
06.06.2024 11:22:04,84,44%
06.06.2024 11:22:02,84,44%
06.06.2024 11:21:54,84,44%
06.06.2024 11:21:49,83,43%
06.06.2024 11:21:44,87,45%
06.06.2024 11:21:39,85,44%
06.06.2024 11:21:34,88,46%
06.06.2024 11:21:32,89,46%
06.06.2024 11:21:25,90,47%
06.06.2024 11:21:19,86,45%
06.06.2024 11:21:17,87,45%
06.06.2024 11:21:12,90,47%
06.06.2024 11:21:04,94,49%
06.06.2024 11:20:59,91,47%
06.06.2024 11:20:54,85,44%
06.06.2024 11:20:48,83,43%
06.06.2024 11:20:39,83,43%
06.06.2024 11:20:34,81,42%
